,date,game_center,geo_location,attendance,capacity,home,guest
41,2015-11-02 21:30:00,STAPLES Center,"Los Angeles, CA",18997,19060,Lakers,Mavericks
42,2015-11-03 19:00:00,Wells Fargo Center,"Philadelphia, PA",18094,20318,76ers,Cavaliers
43,2015-11-03 19:30:00,Madison Square Garden,"New York, NY",19812,19763,Knicks,Spurs
44,2015-11-03 20:00:00,Toyota Center,"Houston, TX",17224,18104,Rockets,Thunder
45,2015-11-03 20:00:00,Target Center,"Minneapolis, MN",18903,19356,Timberwolves,Blazers
46,2015-11-03 22:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Grizzlies
47,2015-11-03 22:30:00,STAPLES Center,"Los Angeles, CA",19060,19060,Clippers,Suns
48,2015-11-04 19:00:00,Spectrum Center,"Charlotte, NC",15136,19077,Hornets,Bulls
49,2015-11-04 19:30:00,The Palace of Auburn Hills,"Detroit, MI",13325,22076,Pistons,Pacers
50,2015-11-04 19:30:00,AmericanAirlines Arena,"Miami, FL",19600,19600,Heat,Hawks
51,2015-11-04 20:00:00,Smoothie King Center,"New Orleans, LA",16876,17188,Pelicans,Magic
52,2015-11-04 20:30:00,American Airlines Center,"Dallas, TX",20034,19200,Mavericks,Raptors
53,2015-11-04 22:00:00,Sleep Train Arena,"Sacramento, CA",17317,17317,Kings,Grizzlies
54,2015-11-04 22:30:00,STAPLES Center,"Los Angeles, CA",18997,19060,Lakers,Nuggets
55,2015-11-05 19:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",14022,18165,Pacers,Celtics
56,2015-11-05 19:00:00,Verizon Center,"Washington, DC",17721,20173,Wizards,Spurs
57,2015-11-05 20:00:00,Philips Arena,"Atlanta, GA",14044,18729,Hawks,Nets
58,2015-11-05 20:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Cavaliers,Knicks
59,2015-11-05 20:00:00,Toyota Center,"Houston, TX",16735,18104,Rockets,Magic
60,2015-11-05 20:00:00,BMO Harris Bradley Center,"Milwaukee, WI",12437,18717,Bucks,76ers
61,2015-11-05 20:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Thunder,Raptors
62,2015-11-05 21:00:00,Talking Stick Resort Arena,"Phoenix, AZ",16497,18422,Suns,Kings
63,2015-11-05 21:00:00,Vivint Smart Home Arena,"Salt Lake City, UT",19911,19911,Jazz,Blazers
64,2015-11-05 22:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Clippers
65,2015-11-06 20:00:00,United Center,"Chicago, IL",21861,20917,Bulls,Thunder
66,2015-11-06 20:00:00,Target Center,"Minneapolis, MN",11794,19356,Timberwolves,Heat
67,2015-11-06 20:30:00,American Airlines Center,"Dallas, TX",19635,19200,Mavericks,Hornets
68,2015-11-06 21:00:00,Pepsi Center,"Denver, CO",9906,19155,Nuggets,Jazz
69,2015-11-06 22:30:00,Moda Center,"Portland, OR",19393,19441,Trail,Grizzlies
70,2015-11-07 19:00:00,Amway Center,"Orlando, FL",16578,18500,Magic,Raptors
71,2015-11-07 19:30:00,TD Garden,"Boston, MA",18624,18624,Celtics,Wizards
72,2015-11-07 19:30:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Cavaliers,76ers
73,2015-11-07 19:30:00,Madison Square Garden,"New York, NY",19812,19763,Knicks,Bucks
74,2015-11-07 20:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",16914,18165,Pacers,Heat
75,2015-11-07 20:00:00,Smoothie King Center,"New Orleans, LA",16983,17188,Pelicans,Hawks
76,2015-11-07 21:30:00,Talking Stick Resort Arena,"Phoenix, AZ",16676,18422,Suns,Pistons
77,2015-11-07 22:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Nuggets
78,2015-11-07 22:30:00,Sleep Train Arena,"Sacramento, CA",16983,17317,Kings,Rockets
79,2015-11-08 18:00:00,United Center,"Chicago, IL",21988,20917,Bulls,Timberwolves
80,2015-11-08 19:30:00,Philips Arena,"Atlanta, GA",18047,18729,Hawks,Wizards
81,2015-11-08 19:00:00,Wells Fargo Center,"Philadelphia, PA",15207,20318,76ers,Magic
82,2015-11-08 20:30:00,American Airlines Center,"Dallas, TX",20454,19200,Mavericks,Pelicans
83,2015-11-08 20:30:00,BMO Harris Bradley Center,"Milwaukee, WI",15228,18717,Bucks,Nets
84,2015-11-08 20:30:00,AT&T Center,"San Antonio, TX",18418,18581,Spurs,Hornets
85,2015-11-08 21:00:00,Vivint Smart Home Arena,"Salt Lake City, UT",19456,19911,Jazz,Grizzlies
86,2015-11-08 22:00:00,Sleep Train Arena,"Sacramento, CA",17317,17317,Kings,Warriors
87,2015-11-08 22:30:00,STAPLES Center,"Los Angeles, CA",19361,19060,Clippers,Rockets
88,2015-11-09 15:30:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Cavaliers,Pacers
89,2015-11-09 15:30:00,Madison Square Garden,"New York, NY",19812,19763,Knicks,Lakers
90,2015-11-09 18:00:00,AmericanAirlines Arena,"Miami, FL",19600,19600,Heat,Raptors
91,2015-11-09 19:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Thunder,Suns
92,2015-11-09 21:00:00,Moda Center,"Portland, OR",19393,19441,Trail,Pistons
93,2015-11-10 19:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",13104,18165,Pacers,Magic
94,2015-11-10 19:00:00,Wells Fargo Center,"Philadelphia, PA",13879,20318,76ers,Bulls
95,2015-11-10 20:00:00,Philips Arena,"Atlanta, GA",12016,18729,Hawks,Timberwolves
96,2015-11-10 21:00:00,Pepsi Center,"Denver, CO",9153,19155,Nuggets,Blazers
97,2015-11-10 22:00:00,Sleep Train Arena,"Sacramento, CA",17317,17317,Kings,Spurs
98,2015-11-10 22:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Pistons
99,2015-11-10 22:30:00,STAPLES Center,"Los Angeles, CA",19060,19060,Clippers,Grizzlies
100,2015-11-11 19:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Cavaliers,Jazz
101,2015-11-11 19:00:00,Verizon Center,"Washington, DC",20356,20173,Wizards,Thunder
102,2015-11-11 19:30:00,AmericanAirlines Arena,"Miami, FL",19825,19600,Heat,Lakers
103,2015-11-11 19:30:00,Air Canada Centre,"Toronto, ON",19800,19800,Raptors,Knicks
104,2015-11-11 20:00:00,BMO Harris Bradley Center,"Milwaukee, WI",11822,18717,Bucks,Celtics
105,2015-11-11 20:00:00,Target Center,"Minneapolis, MN",14722,19356,Timberwolves,Hornets
106,2015-11-11 20:00:00,Smoothie King Center,"New Orleans, LA",17128,17188,Pelicans,Mavericks
107,2015-11-12 19:00:00,Spectrum Center,"Charlotte, NC",16643,19077,Hornets,Knicks
108,2015-11-12 19:00:00,Amway Center,"Orlando, FL",18846,18500,Magic,Lakers
109,2015-11-12 19:00:00,Wells Fargo Center,"Philadelphia, PA",12744,20318,76ers,Raptors
110,2015-11-12 19:30:00,TD Garden,"Boston, MA",17879,18624,Celtics,Pacers
111,2015-11-12 20:00:00,Philips Arena,"Atlanta, GA",15597,18729,Hawks,Pelicans
112,2015-11-12 20:00:00,American Airlines Center,"Dallas, TX",19805,19200,Mavericks,Clippers
113,2015-11-12 20:00:00,Toyota Center,"Houston, TX",18155,18104,Rockets,Nets
114,2015-11-12 20:00:00,FedExForum,"Memphis, TN",18119,18119,Grizzlies,Warriors
115,2015-11-12 21:00:00,Pepsi Center,"Denver, CO",9403,19155,Nuggets,Bucks
116,2015-11-12 22:00:00,Sleep Train Arena,"Sacramento, CA",17317,17317,Kings,Pistons
117,2015-11-12 22:30:00,Moda Center,"Portland, OR",19393,19441,Trail,Spurs
118,2015-11-13 19:30:00,AmericanAirlines Arena,"Miami, FL",19600,19600,Heat,Jazz
119,2015-11-13 20:00:00,Target Center,"Minneapolis, MN",16130,19356,Timberwolves,Warriors
120,2015-11-13 22:30:00,Talking Stick Resort Arena,"Phoenix, AZ",17204,18422,Suns,Clippers
121,2015-11-14 19:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",16797,18165,Pacers,Timberwolves
122,2015-11-14 19:00:00,Amway Center,"Orlando, FL",16709,18500,Magic,Jazz
123,2015-11-14 19:30:00,TD Garden,"Boston, MA",17138,18624,Celtics,Hawks
124,2015-11-14 19:30:00,Madison Square Garden,"New York, NY",19812,19763,Knicks,Cavaliers
125,2015-11-14 19:30:00,Air Canada Centre,"Toronto, ON",19800,19800,Raptors,Pelicans
126,2015-11-14 20:00:00,United Center,"Chicago, IL",21749,20917,Bulls,Hornets
127,2015-11-14 20:00:00,FedExForum,"Memphis, TN",16919,18119,Grizzlies,Blazers
128,2015-11-14 20:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Thunder,76ers
129,2015-11-14 20:30:00,American Airlines Center,"Dallas, TX",20260,19200,Mavericks,Lakers
130,2015-11-14 21:00:00,Pepsi Center,"Denver, CO",16113,19155,Nuggets,Rockets
131,2015-11-14 22:00:00,Sleep Train Arena,"Sacramento, CA",17131,17317,Kings,Nets
132,2015-11-15 15:30:00,STAPLES Center,"Los Angeles, CA",19060,19060,Clippers,Pistons
133,2015-11-15 19:00:00,Verizon Center,"Washington, DC",18311,20173,Wizards,Magic
134,2015-11-15 20:00:00,Toyota Center,"Houston, TX",18231,18104,Rockets,Mavericks
135,2015-11-15 20:30:00,BMO Harris Bradley Center,"Milwaukee, WI",18717,18717,Bucks,Cavaliers
136,2015-11-15 20:30:00,AT&T Center,"San Antonio, TX",18418,18581,Spurs,76ers
137,2015-11-15 21:00:00,Talking Stick Resort Arena,"Phoenix, AZ",16722,18422,Suns,Nuggets
138,2015-11-15 22:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Nets
139,2015-11-16 12:00:00,Madison Square Garden,"New York, NY",19812,19763,Knicks,Pelicans
140,2015-11-16 15:30:00,Target Center,"Minneapolis, MN",12086,19356,Timberwolves,Grizzlies
141,2015-11-16 17:00:00,Spectrum Center,"Charlotte, NC",15317,19077,Hornets,Blazers
142,2015-11-16 18:00:00,Philips Arena,"Atlanta, GA",14436,18729,Hawks,Jazz
143,2015-11-16 19:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Thunder,Celtics
144,2015-11-16 21:00:00,Sleep Train Arena,"Sacramento, CA",17006,17317,Kings,Raptors
145,2015-11-16 21:30:00,STAPLES Center,"Los Angeles, CA",18997,19060,Lakers,Pistons
146,2015-11-17 19:00:00,Wells Fargo Center,"Philadelphia, PA",11555,20318,76ers,Mavericks
147,2015-11-17 20:00:00,United Center,"Chicago, IL",21660,20917,Bulls,Pacers
148,2015-11-17 20:00:00,Toyota Center,"Houston, TX",17005,18104,Rockets,Celtics
149,2015-11-17 20:00:00,FedExForum,"Memphis, TN",17270,18119,Grizzlies,Thunder
150,2015-11-17 20:30:00,AT&T Center,"San Antonio, TX",18418,18581,Spurs,Blazers
151,2015-11-17 21:00:00,Talking Stick Resort Arena,"Phoenix, AZ",18055,18422,Suns,Lakers
152,2015-11-18 19:00:00,Verizon Center,"Washington, DC",15485,20173,Wizards,Bucks
153,2015-11-18 19:30:00,The Palace of Auburn Hills,"Detroit, MI",18442,22076,Pistons,Cavaliers
154,2015-11-18 19:30:00,AmericanAirlines Arena,"Miami, FL",19600,19600,Heat,Timberwolves
155,2015-11-18 19:30:00,Madison Square Garden,"New York, NY",19812,19763,Knicks,Hornets
156,2015-11-18 20:00:00,Smoothie King Center,"New Orleans, LA",17269,17188,Pelicans,Nuggets
157,2015-11-18 22:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Raptors
158,2015-11-19 19:00:00,Spectrum Center,"Charlotte, NC",14040,19077,Hornets,Nets
159,2015-11-19 19:00:00,Amway Center,"Orlando, FL",16048,18500,Magic,Timberwolves
160,2015-11-19 19:00:00,Wells Fargo Center,"Philadelphia, PA",11080,20318,76ers,Pacers
161,2015-11-19 19:30:00,TD Garden,"Boston, MA",17262,18624,Celtics,Mavericks
162,2015-11-19 20:00:00,Philips Arena,"Atlanta, GA",13008,18729,Hawks,Kings
163,2015-11-19 20:00:00,Toyota Center,"Houston, TX",17107,18104,Rockets,Blazers
164,2015-11-19 20:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Thunder,Pelicans
165,2015-11-19 20:30:00,AT&T Center,"San Antonio, TX",18418,18581,Spurs,Nuggets
166,2015-11-19 21:00:00,Vivint Smart Home Arena,"Salt Lake City, UT",18741,19911,Jazz,Raptors
167,2015-11-19 22:30:00,Talking Stick Resort Arena,"Phoenix, AZ",17377,18422,Suns,Bulls
168,2015-11-20 19:30:00,AmericanAirlines Arena,"Miami, FL",19600,19600,Heat,Kings
169,2015-11-20 20:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Cavaliers,Bucks
170,2015-11-20 22:30:00,STAPLES Center,"Los Angeles, CA",19528,19060,Clippers,Warriors
171,2015-11-21 19:00:00,Spectrum Center,"Charlotte, NC",17926,19077,Hornets,76ers
172,2015-11-21 19:30:00,TD Garden,"Boston, MA",18361,18624,Celtics,Nets
173,2015-11-21 20:00:00,FedExForum,"Memphis, TN",17555,18119,Grizzlies,Rockets
174,2015-11-21 20:00:00,Target Center,"Minneapolis, MN",13445,19356,Timberwolves,Pistons
175,2015-11-21 20:00:00,Smoothie King Center,"New Orleans, LA",16698,17188,Pelicans,Spurs
176,2015-11-21 20:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Thunder,Knicks
177,2015-11-21 20:30:00,American Airlines Center,"Dallas, TX",20028,19200,Mavericks,Jazz
178,2015-11-21 21:00:00,Pepsi Center,"Denver, CO",12264,19155,Nuggets,Suns
179,2015-11-21 22:00:00,Moda Center,"Portland, OR",19393,19441,Trail,Clippers
180,2015-11-21 22:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Bulls
181,2015-11-21 22:30:00,STAPLES Center,"Los Angeles, CA",18997,19060,Lakers,Raptors
182,2015-11-22 17:00:00,Amway Center,"Orlando, FL",16104,18500,Magic,Kings
183,2015-11-22 19:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",17137,18165,Pacers,Bucks
184,2015-11-22 19:30:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Cavaliers,Hawks
185,2015-11-22 19:30:00,The Palace of Auburn Hills,"Detroit, MI",15890,22076,Pistons,Wizards
186,2015-11-22 20:00:00,AmericanAirlines Arena,"Miami, FL",19673,19600,Heat,76ers
187,2015-11-22 20:00:00,Toyota Center,"Houston, TX",18226,18104,Rockets,Knicks
188,2015-11-22 20:30:00,AT&T Center,"San Antonio, TX",18418,18581,Spurs,Grizzlies
189,2015-11-23 15:30:00,STAPLES Center,"Los Angeles, CA",19060,19060,Clippers,Raptors
190,2015-11-23 18:00:00,Smoothie King Center,"New Orleans, LA",16680,17188,Pelicans,Suns
191,2015-11-23 19:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Thunder,Mavericks
192,2015-11-23 20:00:00,Pepsi Center,"Denver, CO",17689,19155,Nuggets,Warriors
193,2015-11-23 21:30:00,STAPLES Center,"Los Angeles, CA",18997,19060,Lakers,Blazers
194,2015-11-24 19:00:00,Spectrum Center,"Charlotte, NC",14163,19077,Hornets,Kings
195,2015-11-24 19:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Cavaliers,Magic
196,2015-11-24 19:30:00,AmericanAirlines Arena,"Miami, FL",19777,19600,Heat,Knicks
197,2015-11-24 20:00:00,BMO Harris Bradley Center,"Milwaukee, WI",12319,18717,Bucks,Pistons
198,2015-11-24 20:00:00,Target Center,"Minneapolis, MN",11382,19356,Timberwolves,76ers
199,2015-11-24 20:30:00,AT&T Center,"San Antonio, TX",18418,18581,Spurs,Suns
200,2015-11-24 21:00:00,Vivint Smart Home Arena,"Salt Lake City, UT",19911,19911,Jazz,Thunder
201,2015-11-25 19:00:00,Verizon Center,"Washington, DC",15486,20173,Wizards,Pacers
202,2015-11-25 20:00:00,Philips Arena,"Atlanta, GA",18968,18729,Hawks,Celtics
203,2015-11-25 20:00:00,FedExForum,"Memphis, TN",17381,18119,Grizzlies,Mavericks
204,2015-11-25 21:00:00,Pepsi Center,"Denver, CO",13257,19155,Nuggets,Clippers
205,2015-11-25 22:00:00,Moda Center,"Portland, OR",19393,19441,Trail,Bulls
206,2015-11-25 22:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Lakers
207,2015-11-26 19:00:00,Spectrum Center,"Charlotte, NC",17064,19077,Hornets,Wizards
208,2015-11-26 19:00:00,Amway Center,"Orlando, FL",18846,18500,Magic,Knicks
209,2015-11-26 19:30:00,TD Garden,"Boston, MA",17588,18624,Celtics,76ers
210,2015-11-26 19:30:00,The Palace of Auburn Hills,"Detroit, MI",15119,22076,Pistons,Heat
211,2015-11-26 19:30:00,Air Canada Centre,"Toronto, ON",20140,19800,Raptors,Cavaliers
212,2015-11-26 20:00:00,Toyota Center,"Houston, TX",18143,18104,Rockets,Grizzlies
213,2015-11-26 20:00:00,BMO Harris Bradley Center,"Milwaukee, WI",14120,18717,Bucks,Kings
214,2015-11-26 20:00:00,Target Center,"Minneapolis, MN",14289,19356,Timberwolves,Hawks
215,2015-11-26 20:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Thunder,Nets
216,2015-11-26 20:30:00,AT&T Center,"San Antonio, TX",18418,18581,Spurs,Mavericks
217,2015-11-26 21:00:00,Talking Stick Resort Arena,"Phoenix, AZ",16338,18422,Suns,Pelicans
218,2015-11-26 22:30:00,STAPLES Center,"Los Angeles, CA",19060,19060,Clippers,Jazz
219,2015-11-28 19:00:00,Spectrum Center,"Charlotte, NC",19093,19077,Hornets,Cavaliers
220,2015-11-28 19:00:00,Amway Center,"Orlando, FL",16317,18500,Magic,Bucks
221,2015-11-28 19:30:00,TD Garden,"Boston, MA",18624,18624,Celtics,Wizards
222,2015-11-28 19:30:00,Madison Square Garden,"New York, NY",19812,19763,Knicks,Heat
223,2015-11-28 20:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",18165,18165,Pacers,Bulls
224,2015-11-28 20:00:00,Toyota Center,"Houston, TX",17306,18104,Rockets,76ers
225,2015-11-28 20:00:00,FedExForum,"Memphis, TN",17684,18119,Grizzlies,Hawks
226,2015-11-28 20:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Thunder,Pistons
227,2015-11-28 21:00:00,Pepsi Center,"Denver, CO",17121,19155,Nuggets,Spurs
228,2015-11-28 21:30:00,Talking Stick Resort Arena,"Phoenix, AZ",18055,18422,Suns,Warriors
229,2015-11-28 22:00:00,Sleep Train Arena,"Sacramento, CA",17317,17317,Kings,Timberwolves
230,2015-11-28 22:30:00,STAPLES Center,"Los Angeles, CA",19162,19060,Clippers,Pelicans
231,2015-11-29 19:00:00,Verizon Center,"Washington, DC",16841,20173,Wizards,Raptors
232,2015-11-29 19:30:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Cavaliers,Nets
233,2015-11-29 20:30:00,American Airlines Center,"Dallas, TX",20339,19200,Mavericks,Nuggets
234,2015-11-29 20:30:00,AT&T Center,"San Antonio, TX",18418,18581,Spurs,Hawks
235,2015-11-29 21:00:00,Vivint Smart Home Arena,"Salt Lake City, UT",19911,19911,Jazz,Pelicans
236,2015-11-29 22:00:00,Moda Center,"Portland, OR",20019,19441,Trail,Lakers
237,2015-11-29 22:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Kings
238,2015-11-30 14:00:00,Spectrum Center,"Charlotte, NC",14224,19077,Hornets,Bucks
239,2015-11-30 15:30:00,STAPLES Center,"Los Angeles, CA",19060,19060,Clippers,Timberwolves
240,2015-11-30 18:00:00,Amway Center,"Orlando, FL",16209,18500,Magic,Celtics
241,2015-11-30 18:00:00,Air Canada Centre,"Toronto, ON",19800,19800,Raptors,Suns
242,2015-11-30 18:00:00,FedExForum,"Memphis, TN",15322,18119,Grizzlies,76ers
243,2015-11-30 19:30:00,Madison Square Garden,"New York, NY",19812,19763,Knicks,Rockets
244,2015-11-30 21:30:00,STAPLES Center,"Los Angeles, CA",18997,19060,Lakers,Pacers
245,2015-12-01 19:30:00,The Palace of Auburn Hills,"Detroit, MI",14818,22076,Pistons,Rockets
246,2015-12-01 19:30:00,AmericanAirlines Arena,"Miami, FL",19600,19600,Heat,Celtics
247,2015-12-01 20:00:00,Philips Arena,"Atlanta, GA",17768,18729,Hawks,Thunder
248,2015-12-01 20:00:00,United Center,"Chicago, IL",21909,20917,Bulls,Spurs
249,2015-12-01 20:00:00,BMO Harris Bradley Center,"Milwaukee, WI",10187,18717,Bucks,Nuggets
250,2015-12-01 21:00:00,Vivint Smart Home Arena,"Salt Lake City, UT",19911,19911,Jazz,Warriors
251,2015-12-01 22:00:00,Sleep Train Arena,"Sacramento, CA",16937,17317,Kings,Mavericks
252,2015-12-01 22:30:00,STAPLES Center,"Los Angeles, CA",19060,19060,Clippers,Blazers
253,2015-12-02 19:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Cavaliers,Wizards
254,2015-12-02 19:00:00,Wells Fargo Center,"Philadelphia, PA",20510,20318,76ers,Lakers
255,2015-12-02 20:00:00,Target Center,"Minneapolis, MN",10694,19356,Timberwolves,Magic
256,2015-12-02 20:00:00,Smoothie King Center,"New Orleans, LA",16020,17188,Pelicans,Grizzlies
257,2015-12-02 22:00:00,Moda Center,"Portland, OR",19393,19441,Trail,Mavericks
258,2015-12-03 19:00:00,Spectrum Center,"Charlotte, NC",19542,19077,Hornets,Warriors
259,2015-12-03 19:00:00,Verizon Center,"Washington, DC",20356,20173,Wizards,Lakers
260,2015-12-03 19:30:00,The Palace of Auburn Hills,"Detroit, MI",13985,22076,Pistons,Suns
261,2015-12-03 19:30:00,Madison Square Garden,"New York, NY",19812,19763,Knicks,76ers
262,2015-12-03 20:00:00,Philips Arena,"Atlanta, GA",12559,18729,Hawks,Raptors
263,2015-12-03 20:00:00,United Center,"Chicago, IL",21349,20917,Bulls,Nuggets
264,2015-12-03 20:00:00,Toyota Center,"Houston, TX",17339,18104,Rockets,Pelicans
265,2015-12-03 20:30:00,AT&T Center,"San Antonio, TX",18418,18581,Spurs,Bucks
266,2015-12-03 22:30:00,STAPLES Center,"Los Angeles, CA",19060,19060,Clippers,Pacers
267,2015-12-04 19:00:00,AmericanAirlines Arena,"Miami, FL",19600,19600,Heat,Thunder
268,2015-12-04 19:30:00,Air Canada Centre,"Toronto, ON",19800,19800,Raptors,Nuggets
269,2015-12-04 21:00:00,Vivint Smart Home Arena,"Salt Lake City, UT",19247,19911,Jazz,Magic
270,2015-12-04 21:30:00,FedExForum,"Memphis, TN",17013,18119,Grizzlies,Spurs
271,2015-12-04 22:00:00,Moda Center,"Portland, OR",19206,19441,Trail,Pacers
272,2015-12-05 19:00:00,Madison Square Garden,"New York, NY",19812,19763,Knicks,Nets
273,2015-12-05 19:00:00,Verizon Center,"Washington, DC",17255,20173,Wizards,Suns
274,2015-12-05 19:30:00,The Palace of Auburn Hills,"Detroit, MI",16963,22076,Pistons,Bucks
275,2015-12-05 20:00:00,Philips Arena,"Atlanta, GA",19051,18729,Hawks,Lakers
276,2015-12-05 20:30:00,American Airlines Center,"Dallas, TX",20339,19200,Mavericks,Rockets
277,2015-12-05 21:30:00,Smoothie King Center,"New Orleans, LA",17906,17188,Pelicans,Cavaliers
278,2015-12-06 13:00:00,Wells Fargo Center,"Philadelphia, PA",15677,20318,76ers,Nuggets
279,2015-12-06 17:00:00,Air Canada Centre,"Toronto, ON",20160,19800,Raptors,Warriors
