,Unnamed: 0,date,game_center,geo_location,attendance,capacity,guest,home,streak_home,streak_guest
98,98,2017-01-03 19:00:00,BMO Harris Bradley Center,"Milwaukee, WI",17423,18717,Thunder,Bucks,2,-1
99,99,2017-01-03 19:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Pelicans,Cavaliers,3,-1
100,100,2016-10-27 21:00:00,Talking Stick Resort Arena,"Phoenix, AZ",18055,18422,Kings,Suns,-1,1
101,101,2017-01-03 19:30:00,Madison Square Garden,"New York, NY",19812,19763,Magic,Knicks,-5,1
102,102,2016-10-27 21:30:00,STAPLES Center,"Los Angeles, CA",18997,19060,Rockets,Lakers,1,-1
103,103,2017-01-03 20:00:00,United Center,"Chicago, IL",21612,20917,Hornets,Bulls,1,-2
104,104,2017-01-03 20:00:00,Toyota Center,"Houston, TX",16569,18104,Wizards,Rockets,5,-1
105,105,2017-01-03 22:30:00,STAPLES Center,"Los Angeles, CA",19060,19060,Suns,Clippers,1,-2
106,106,2017-01-03 22:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Nuggets,Warriors,3,-2
107,107,2016-10-28 18:30:00,Philips Arena,"Atlanta, GA",19049,18729,Wizards,Hawks,1,-1
108,108,2017-01-04 19:00:00,Wells Fargo Center,"Philadelphia, PA",17124,20318,Timberwolves,76ers,2,-2
109,109,2016-10-28 19:00:00,United Center,"Chicago, IL",21501,20917,Celtics,Bulls,1,-1
110,110,2017-01-04 19:30:00,TD Garden,"Boston, MA",18624,18624,Jazz,Celtics,2,-1
111,111,2016-10-28 21:30:00,Golden 1 Center,"SACRAMENTO, CA",17608,17500,Spurs,Kings,-1,2
112,112,2017-01-04 19:30:00,The Palace of Auburn Hills,"Detroit, MI",13435,22076,Pacers,Pistons,-1,3
113,113,2016-10-28 21:30:00,Moda Center,"Portland, OR",19500,19441,Clippers,Trail,0,1
114,114,2017-01-04 20:30:00,American Airlines Center,"Dallas, TX",19318,19200,Wizards,Mavericks,1,-2
115,115,2017-01-04 20:30:00,AT&T Center,"San Antonio, TX",18418,18581,Raptors,Spurs,1,-1
116,116,2016-10-29 18:00:00,Air Canada Centre,"Toronto, ON",19800,19800,Cavaliers,Raptors,-1,2
117,117,2017-02-02 21:00:00,Talking Stick Resort Arena,"Phoenix, AZ",16191,18422,Clippers,Suns,-5,1
118,118,2017-04-03 14:30:00,BMO Harris Bradley Center,"Milwaukee, WI",18717,18717,Mavericks,Bucks,-1,1
119,119,2017-03-02 20:00:00,TD Garden,"Boston, MA",18624,18624,Cavaliers,Celtics,1,-1
120,120,2017-02-02 21:30:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Bulls,Thunder,-3,2
121,121,2016-12-02 21:00:00,Vivint Smart Home Arena,"Salt Lake City, UT",19073,19911,Heat,Jazz,-1,2
122,122,2017-02-02 22:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Hornets,Warriors,4,-6
123,123,2016-12-02 22:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Rockets,Warriors,-1,1
124,124,2017-03-02 20:30:00,AT&T Center,"San Antonio, TX",18418,18581,Pacers,Spurs,5,-1
125,125,2017-04-03 12:00:00,Madison Square Garden,"New York, NY",19812,19763,Celtics,Knicks,-1,2
126,126,2017-04-03 17:00:00,Smoothie King Center,"New Orleans, LA",18306,17188,Bulls,Pelicans,-1,4
127,127,2017-04-03 17:00:00,Air Canada Centre,"Toronto, ON",19800,19800,76ers,Raptors,2,-3
128,128,2017-03-02 21:00:00,Vivint Smart Home Arena,"Salt Lake City, UT",19127,19911,Timberwolves,Jazz,-2,2
129,129,2016-12-03 19:00:00,Wells Fargo Center,"Philadelphia, PA",13711,20318,Magic,76ers,-5,1
130,130,2017-04-03 17:00:00,AmericanAirlines Arena,"Miami, FL",19600,19600,Nuggets,Heat,-2,1
131,131,2017-03-02 22:30:00,STAPLES Center,"Los Angeles, CA",19060,19060,Rockets,Clippers,-1,1
132,132,2017-02-03 19:00:00,Verizon Center,"Washington, DC",16473,20173,Lakers,Wizards,6,-1
133,133,2016-12-03 19:30:00,TD Garden,"Boston, MA",18624,18624,Kings,Celtics,1,-2
134,134,2017-03-02 22:30:00,Golden 1 Center,"SACRAMENTO, CA",17608,17500,Nets,Kings,-3,1
135,135,2017-02-03 20:00:00,Toyota Center,"Houston, TX",15602,18104,Hawks,Rockets,-1,1
136,136,2017-01-04 21:00:00,Pepsi Center,"Denver, CO",11018,19155,Kings,Nuggets,-3,1
137,137,2017-01-04 21:00:00,Talking Stick Resort Arena,"Phoenix, AZ",16772,18422,Heat,Suns,1,-6
138,138,2017-01-04 22:30:00,STAPLES Center,"Los Angeles, CA",18997,19060,Grizzlies,Lakers,1,-1
139,139,2016-10-29 18:30:00,The Palace of Auburn Hills,"Detroit, MI",19122,22076,Magic,Pistons,1,-2
140,140,2016-10-29 19:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Suns,Thunder,2,-2
141,141,2016-10-29 19:00:00,AmericanAirlines Arena,"Miami, FL",19600,19600,Hornets,Heat,-1,2
142,142,2016-10-29 19:30:00,American Airlines Center,"Dallas, TX",20163,19200,Rockets,Mavericks,-2,1
143,143,2016-10-29 20:00:00,Vivint Smart Home Arena,"Salt Lake City, UT",19911,19911,Lakers,Jazz,1,-1
144,144,2016-10-29 20:30:00,Smoothie King Center,"New Orleans, LA",18217,17188,Warriors,Pelicans,-2,1
145,145,2017-02-03 20:30:00,AT&T Center,"San Antonio, TX",18418,18581,76ers,Spurs,2,-2
146,146,2017-04-03 17:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Pacers,Cavaliers,2,-4
147,147,2017-02-03 22:30:00,STAPLES Center,"Los Angeles, CA",19385,19060,Warriors,Clippers,-1,5
148,148,2017-04-03 14:30:00,AT&T Center,"San Antonio, TX",18418,18581,Jazz,Spurs,2,-1
