,Unnamed: 0,date,game_center,geo_location,attendance,capacity,home,guest,streak_home,streak_guest
1117,1117,2016-04-06 21:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Timberwolves,-1,1
1118,1118,2016-04-06 21:30:00,STAPLES Center,"Los Angeles, CA",19537,19060,Clippers,Lakers,2,-2
1119,1119,2016-04-07 18:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",18165,18165,Pacers,Cavaliers,3,-1
1120,1120,2016-04-07 18:00:00,Amway Center,"Orlando, FL",16553,18500,Magic,Pistons,-1,1
1121,1121,2016-04-07 18:00:00,Verizon Center,"Washington, DC",16846,20173,Wizards,Nets,1,-6
1122,1122,2016-04-07 18:30:00,TD Garden,"Boston, MA",18624,18624,Celtics,Pelicans,3,-2
1123,1123,2016-04-07 18:30:00,Madison Square Garden,"New York, NY",19812,19763,Knicks,Hornets,-2,1
1124,1124,2016-04-07 20:30:00,American Airlines Center,"Dallas, TX",20108,19200,Mavericks,Rockets,5,-1
1125,1125,2016-04-07 21:00:00,Moda Center,"Portland, OR",19393,19441,Trail,Thunder,0,-1
1126,1126,2016-04-07 21:30:00,STAPLES Center,"Los Angeles, CA",18997,19060,Lakers,Clippers,-3,3
1127,1127,2016-04-08 19:00:00,Philips Arena,"Atlanta, GA",17864,18729,Hawks,Raptors,2,-1
1128,1128,2016-04-08 19:00:00,AmericanAirlines Arena,"Miami, FL",19771,19600,Heat,Bulls,2,-2
1129,1129,2016-04-08 19:00:00,Toyota Center,"Houston, TX",18227,18104,Rockets,Suns,-2,1
1130,1130,2016-04-08 21:00:00,Sleep Train Arena,"Sacramento, CA",17317,17317,Kings,Timberwolves,-2,2
1131,1131,2016-04-08 21:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Spurs,1,-1
1132,1132,2016-04-09 18:00:00,Spectrum Center,"Charlotte, NC",18337,19077,Hornets,Nets,2,-7
1133,1133,2016-04-09 18:00:00,Amway Center,"Orlando, FL",18152,18500,Magic,Heat,1,-1
1134,1134,2016-04-09 18:00:00,Wells Fargo Center,"Philadelphia, PA",16076,20318,76ers,Knicks,-1,1
1135,1135,2016-04-09 18:30:00,TD Garden,"Boston, MA",18624,18624,Celtics,Bucks,4,-3
1136,1136,2016-04-09 18:30:00,The Palace of Auburn Hills,"Detroit, MI",18207,22076,Pistons,Wizards,2,-1
1137,1137,2016-04-09 18:30:00,Air Canada Centre,"Toronto, ON",19800,19800,Raptors,Pacers,1,-1
1138,1138,2016-04-09 19:00:00,Smoothie King Center,"New Orleans, LA",18607,17188,Pelicans,Lakers,1,-4
1139,1139,2016-04-09 19:30:00,American Airlines Center,"Dallas, TX",20211,19200,Mavericks,Grizzlies,6,-1
1140,1140,2016-04-09 20:00:00,Pepsi Center,"Denver, CO",16347,19155,Nuggets,Spurs,1,-2
1141,1141,2016-04-09 20:00:00,Vivint Smart Home Arena,"Salt Lake City, UT",19911,19911,Jazz,Clippers,-2,4
1142,1142,2016-04-10 18:30:00,Philips Arena,"Atlanta, GA",19257,18729,Hawks,Celtics,3,-1
1143,1143,2016-04-10 18:00:00,Smoothie King Center,"New Orleans, LA",16932,17188,Pelicans,Suns,-1,2
1144,1144,2016-04-10 19:00:00,FedExForum,"Memphis, TN",18119,18119,Grizzlies,Warriors,-2,2
1145,1145,2016-04-10 19:30:00,United Center,"Chicago, IL",22186,20917,Bulls,Cavaliers,1,-2
1146,1146,2016-04-10 21:30:00,Moda Center,"Portland, OR",19733,19441,Trail,Timberwolves,0,3
1147,1147,2016-04-10 21:30:00,Sleep Train Arena,"Sacramento, CA",17317,17317,Kings,Thunder,1,-2
1148,1148,2016-04-11 11:00:00,Verizon Center,"Washington, DC",19187,20173,Wizards,Hornets,1,-1
1149,1149,2016-04-11 14:30:00,Toyota Center,"Houston, TX",18442,18104,Rockets,Lakers,1,-5
1150,1150,2016-04-11 14:30:00,STAPLES Center,"Los Angeles, CA",19170,19060,Clippers,Mavericks,5,-1
1151,1151,2016-04-11 16:00:00,Wells Fargo Center,"Philadelphia, PA",16267,20318,76ers,Bucks,-2,1
1152,1152,2016-04-11 16:00:00,Pepsi Center,"Denver, CO",16172,19155,Nuggets,Jazz,-1,1
1153,1153,2016-04-11 17:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",18165,18165,Pacers,Nets,1,-8
1154,1154,2016-04-11 17:00:00,AmericanAirlines Arena,"Miami, FL",19913,19600,Heat,Magic,1,-1
1155,1155,2016-04-11 18:00:00,AT&T Center,"San Antonio, TX",18658,18581,Spurs,Warriors,-3,3
1156,1156,2016-04-11 18:30:00,Madison Square Garden,"New York, NY",19812,19763,Knicks,Raptors,-1,2
1157,1157,2016-04-12 18:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Cavaliers,Hawks,1,-1
1158,1158,2016-04-12 18:00:00,Amway Center,"Orlando, FL",18374,18500,Magic,Bucks,1,-1
1159,1159,2016-04-12 18:30:00,TD Garden,"Boston, MA",18624,18624,Celtics,Hornets,-2,1
1160,1160,2016-04-12 19:00:00,Target Center,"Minneapolis, MN",14983,19356,Timberwolves,Rockets,-1,2
1161,1161,2016-04-12 19:00:00,Smoothie King Center,"New Orleans, LA",16867,17188,Pelicans,Bulls,-2,2
1162,1162,2016-04-12 19:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Thunder,Lakers,1,-6
1163,1163,2016-04-12 20:00:00,Vivint Smart Home Arena,"Salt Lake City, UT",19911,19911,Jazz,Mavericks,-1,1
1164,1164,2016-04-12 21:00:00,Talking Stick Resort Arena,"Phoenix, AZ",17288,18422,Suns,Kings,-1,2
1165,1165,2016-04-13 18:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",17906,18165,Pacers,Knicks,2,-2
1166,1166,2016-04-13 18:30:00,The Palace of Auburn Hills,"Detroit, MI",18575,22076,Pistons,Heat,-1,2
1167,1167,2016-04-13 18:30:00,Air Canada Centre,"Toronto, ON",19800,19800,Raptors,76ers,3,-3
1168,1168,2016-04-13 19:00:00,AT&T Center,"San Antonio, TX",18765,18581,Spurs,Thunder,1,-1
1169,1169,2016-04-13 21:30:00,STAPLES Center,"Los Angeles, CA",19147,19060,Clippers,Grizzlies,6,-3
1170,1170,2016-04-14 19:00:00,TD Garden,"Boston, MA",18624,18624,Celtics,Heat,1,-1
1171,1171,2016-04-14 19:00:00,Spectrum Center,"Charlotte, NC",17372,19077,Hornets,Magic,2,-1
1172,1172,2016-04-14 19:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Cavaliers,Pistons,-1,1
1173,1173,2016-04-14 19:00:00,Verizon Center,"Washington, DC",17399,20173,Wizards,Hawks,3,-2
1174,1174,2016-04-14 19:00:00,United Center,"Chicago, IL",21777,20917,Bulls,76ers,3,-4
1175,1175,2016-04-14 19:00:00,American Airlines Center,"Dallas, TX",20346,19200,Mavericks,Spurs,-1,2
1176,1176,2016-04-14 19:00:00,Toyota Center,"Houston, TX",18311,18104,Rockets,Kings,3,-1
1177,1177,2016-04-14 19:00:00,BMO Harris Bradley Center,"Milwaukee, WI",16569,18717,Bucks,Pacers,-2,3
1178,1178,2016-04-14 19:00:00,Target Center,"Minneapolis, MN",14889,19356,Timberwolves,Pelicans,1,-3
1179,1179,2016-04-14 21:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Grizzlies,4,-4
1180,1180,2016-04-14 21:30:00,STAPLES Center,"Los Angeles, CA",18997,19060,Lakers,Jazz,1,-2
1181,1181,2016-04-14 21:30:00,Talking Stick Resort Arena,"Phoenix, AZ",18055,18422,Suns,Clippers,1,-1
1182,1182,2016-04-14 21:30:00,Moda Center,"Portland, OR",19571,19441,Trail,Nuggets,0,-2
1183,1183,2016-02-15 20:00:00,Air Canada Centre,"Toronto, ON",18298,19800,All-Stars,All-Stars,0,0
1184,1184,2015-10-17 18:30:00,Madison Square Garden,"New York, NY",19421,19763,Knicks,Celtics,0,0
