,date,game_center,geo_location,attendance,capacity,home,guest,mon,day,time,dow,night
99,2017-01-03 19:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Pelicans,Cavaliers,1,3,19,1,1
100,2016-10-27 21:00:00,Talking Stick Resort Arena,"Phoenix, AZ",18055,18422,Kings,Suns,10,27,21,3,1
101,2017-01-03 19:30:00,Madison Square Garden,"New York, NY",19812,19763,Magic,Knicks,1,3,19,1,1
102,2016-10-27 21:30:00,STAPLES Center,"Los Angeles, CA",18997,19060,Rockets,Lakers,10,27,21,3,1
103,2017-01-03 20:00:00,United Center,"Chicago, IL",21612,20917,Hornets,Bulls,1,3,20,1,1
104,2017-01-03 20:00:00,Toyota Center,"Houston, TX",16569,18104,Wizards,Rockets,1,3,20,1,1
105,2017-01-03 22:30:00,STAPLES Center,"Los Angeles, CA",19060,19060,Suns,Clippers,1,3,22,1,1
106,2017-01-03 22:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Nuggets,Warriors,1,3,22,1,1
107,2016-10-28 18:30:00,Philips Arena,"Atlanta, GA",19049,18729,Wizards,Hawks,10,28,18,4,0
108,2017-01-04 19:00:00,Wells Fargo Center,"Philadelphia, PA",17124,20318,Timberwolves,76ers,1,4,19,2,1
109,2016-10-28 19:00:00,United Center,"Chicago, IL",21501,20917,Celtics,Bulls,10,28,19,4,1
110,2017-01-04 19:30:00,TD Garden,"Boston, MA",18624,18624,Jazz,Celtics,1,4,19,2,1
111,2016-10-28 21:30:00,Golden 1 Center,"SACRAMENTO, CA",17608,17500,Spurs,Kings,10,28,21,4,1
112,2017-01-04 19:30:00,The Palace of Auburn Hills,"Detroit, MI",13435,22076,Pacers,Pistons,1,4,19,2,1
113,2016-10-28 21:30:00,Moda Center,"Portland, OR",19500,19441,Clippers,Trail,10,28,21,4,1
114,2017-01-04 20:30:00,American Airlines Center,"Dallas, TX",19318,19200,Wizards,Mavericks,1,4,20,2,1
115,2017-01-04 20:30:00,AT&T Center,"San Antonio, TX",18418,18581,Raptors,Spurs,1,4,20,2,1
116,2016-10-29 18:00:00,Air Canada Centre,"Toronto, ON",19800,19800,Cavaliers,Raptors,10,29,18,5,0
117,2017-02-02 21:00:00,Talking Stick Resort Arena,"Phoenix, AZ",16191,18422,Clippers,Suns,2,2,21,3,1
118,2017-04-03 14:30:00,BMO Harris Bradley Center,"Milwaukee, WI",18717,18717,Mavericks,Bucks,4,3,14,0,0
